scene,tag,time_ms,control_source,lf_t,lf_r,rf_t,rf_r,lr_t,lr_r,rr_t,rr_r,dm3_online,dm3_err,dm3_rx_count,dm3_pos_deg_x100,dm3_vel_mrad_s,dm3_torque_x100,dm3_tmos,dm3_trotor,dm3_target_deg_x100,stick_x,zdt42_cmd_x10,disc_cmd
flat_sand_demo,LOG,842444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,842495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,842546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,842597,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,842648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,842699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,842750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,842801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,842852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,842903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,842954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843413,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843617,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,843974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,844025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,844076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,844127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,844178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,844229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,844280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,844331,240,0,240,0,240,20,240,70,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,844382,366,0,366,50,366,-30,366,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,844433,456,0,456,50,456,20,456,30,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,844484,586,60,586,50,586,180,586,70,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,844535,636,20,636,0,636,100,636,-40,0,0,0,0,0,0,0,0,1396,0,0,0,
flat_sand_demo,LOG,844586,616,20,616,30,616,60,616,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,844637,633,20,633,30,633,60,633,50,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,855143,0,890,0,700,0,750,0,1260,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,855194,0,850,0,-80,0,-30,0,880,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,855245,0,620,0,-410,0,-110,0,1010,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,855296,0,980,0,-140,0,-90,0,820,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,855347,0,40,0,-40,0,0,0,650,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,855398,0,500,0,50,0,-50,0,670,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,855449,0,540,0,30,0,0,0,150,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,855500,0,520,0,0,0,0,0,360,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,855551,0,80,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,855602,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,855653,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,855704,0,80,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,855755,0,80,0,50,0,0,0,50,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,855806,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,855857,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,855908,-153,20,-153,0,-153,0,-153,30,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,855959,-346,-30,-346,0,-346,0,-346,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,864986,0,-110,0,-890,0,-1200,0,-940,0,0,0,0,0,0,0,0,1396,0,0,0,
flat_sand_demo,LOG,865037,0,-780,0,-1080,0,-950,0,-580,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,865088,0,-860,0,-390,0,-320,0,-390,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,865139,0,-360,0,-560,0,-470,0,-580,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,865190,0,-90,0,70,0,-50,0,-140,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,865241,0,0,0,70,0,0,0,30,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,865292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,865343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,865394,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,865445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,865496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,865547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,865598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,865649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,865700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,865751,0,0,0,0,0,0,0,-20,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,865802,0,0,0,0,0,0,0,-80,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,865853,0,0,0,0,0,0,0,-20,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,865904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,865955,0,0,0,0,0,0,0,-20,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866006,0,0,0,0,0,0,0,-20,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866057,0,0,0,0,0,0,0,-20,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866108,0,0,0,0,0,0,0,-20,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866159,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866363,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,866975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867638,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867740,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867842,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,867995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868760,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,868964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,869015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,869066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,869117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,869168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,869219,0,0,0,0,0,0,0,-40,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,869270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,869321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,869372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,869423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,869474,0,0,0,0,0,0,0,-20,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,869525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,869576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
flat_sand_demo,LOG,869627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1396,0,0,0,0
