scene,tag,time_ms,control_source,lf_t,lf_r,rf_t,rf_r,lr_t,lr_r,rr_t,rr_r,dm3_online,dm3_err,dm3_rx_count,dm3_pos_deg_x100,dm3_vel_mrad_s,dm3_torque_x100,dm3_tmos,dm3_trotor,dm3_target_deg_x100,stick_x,zdt42_cmd_x10,disc_cmd
pit_escape_demo,LOG,1393193,0,0,0,0,0,0,0,0,0,12,11608,748,-10,-4,60,64,748,0,0,0,0
pit_escape_demo,LOG,1393244,0,0,0,0,0,0,0,0,1,12,11612,748,-32,-2,60,64,748,0,0,0,0
pit_escape_demo,LOG,1393295,0,0,0,0,0,0,0,0,1,12,11619,748,-10,-4,60,64,748,0,0,0,0
pit_escape_demo,LOG,1393346,0,0,0,0,0,0,0,0,1,12,11627,748,-10,-2,60,64,748,0,0,0,0
pit_escape_demo,LOG,1393397,0,0,0,0,0,0,0,0,1,12,11635,748,-10,-2,60,64,748,0,0,0,0
pit_escape_demo,LOG,1393448,0,0,0,0,0,0,0,0,1,12,11643,748,-10,-2,60,64,748,0,0,0,0
pit_escape_demo,LOG,1393499,0,0,0,0,0,0,0,0,1,12,11649,748,-10,-2,60,64,748,0,0,0,0
pit_escape_demo,LOG,1393550,0,0,0,-20,0,0,0,0,1,12,11649,748,-10,-2,60,64,748,0,0,0,0
pit_escape_demo,LOG,1393601,0,0,0,0,0,0,0,0,1,12,11649,748,-10,-2,60,64,748,0,0,0,0
pit_escape_demo,LOG,1393652,0,0,0,0,0,0,0,0,1,12,11649,748,-10,-2,60,64,748,0,0,0,0
pit_escape_demo,LOG,1393703,0,0,0,0,0,0,0,0,1,12,11649,748,-10,-2,60,64,748,0,0,0,0
pit_escape_demo,LOG,1393754,0,0,0,0,0,0,0,0,1,12,11649,748,-10,-2,60,64,748,0,0,0,0
pit_escape_demo,LOG,1393805,0,0,0,0,0,0,0,0,1,12,11649,748,-10,-2,60,64,748,0,0,0,0
pit_escape_demo,LOG,1393856,0,0,0,0,0,0,0,0,1,12,11649,748,-10,-2,60,64,748,0,0,0,0
pit_escape_demo,LOG,1393907,0,0,0,0,0,0,0,0,1,12,11649,748,-10,-2,60,64,748,0,0,0,0
pit_escape_demo,LOG,1393958,0,0,0,0,0,0,0,0,1,12,11649,748,-10,-2,60,64,748,0,0,0,0
pit_escape_demo,LOG,1394009,0,0,0,0,0,0,0,0,0,12,11649,748,-10,-2,60,64,748,0,0,0,0
pit_escape_demo,LOG,1394060,0,0,0,0,0,0,0,0,0,12,11649,748,-10,-2,60,64,748,0,0,0,0
pit_escape_demo,LOG,1394111,0,0,0,0,0,0,0,0,0,12,11649,748,-10,-2,60,64,748,0,0,0,0
